學員ID,推薦課程ID,預測報名機率,推薦原因
88750,1,0.45983186,證照特徵符合高報名樣態；性別編特徵符合高報名樣態
88750,7,0.0017985232,線上特徵符合高報名樣態；性別編特徵符合高報名樣態
88750,8,0.0017981413,線上特徵符合高報名樣態；性別編特徵符合高報名樣態
88771,1,0.5974365,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
88771,7,0.0016875924,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
88771,8,0.0016872342,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
88794,1,0.71387744,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
88794,7,0.0021764974,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
88794,8,0.0021760354,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
88798,1,0.48030007,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
88798,7,0.0012093754,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
88798,8,0.0012091185,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
88809,1,0.7871554,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
88809,4,0.0024436994,4000-5000特徵符合高報名樣態
88809,5,0.0024436994,4000-5000特徵符合高報名樣態
88892,1,0.9459586,證照特徵符合高報名樣態；性別編特徵符合高報名樣態
88892,7,0.007493291,線上特徵符合高報名樣態；性別編特徵符合高報名樣態
88892,8,0.0074917097,線上特徵符合高報名樣態；性別編特徵符合高報名樣態
88894,1,0.6420782,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
88894,7,0.0019340817,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
88894,8,0.0019336712,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
88905,1,0.60828114,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
88905,7,0.001821888,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
88905,8,0.0018215013,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
88955,1,0.08092784,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
88955,3,0.00066054345,4000-5000特徵符合高報名樣態；線上特徵符合高報名樣態
88955,6,0.00066054345,4000-5000特徵符合高報名樣態；線上特徵符合高報名樣態
88988,1,0.5974365,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
88988,7,0.0016875924,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
88988,8,0.0016872342,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
88999,1,0.42267358,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
88999,4,0.0013177351,4000-5000特徵符合高報名樣態
88999,5,0.0013177351,4000-5000特徵符合高報名樣態
89039,1,0.46423337,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
89039,4,0.0017454629,4000-5000特徵符合高報名樣態；對國貿實務有興趣
89039,5,0.0017454629,4000-5000特徵符合高報名樣態；對國貿實務有興趣
89043,1,0.39523214,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
89043,4,0.001984895,4000-5000特徵符合高報名樣態；對國貿實務有興趣
89043,5,0.001984895,4000-5000特徵符合高報名樣態；對國貿實務有興趣
89059,1,0.36356178,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
89059,7,0.0009786399,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
89059,8,0.0009784321,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
89076,1,0.42839184,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
89076,7,0.0012992944,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
89076,8,0.0012990185,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
89077,1,0.36356178,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
89077,7,0.0009786399,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
89077,8,0.0009784321,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
89078,1,0.71387744,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
89078,7,0.0021764974,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
89078,8,0.0021760354,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
89079,1,0.5974365,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
89079,7,0.0016875924,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
89079,8,0.0016872342,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
89088,1,0.04570213,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
89088,3,0.0010114638,4000-5000特徵符合高報名樣態；線上特徵符合高報名樣態
89088,6,0.0010114638,4000-5000特徵符合高報名樣態；線上特徵符合高報名樣態
89089,1,0.7108681,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
89089,7,0.0021589058,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
89089,8,0.0021584476,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
89106,1,0.5590713,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
89106,4,0.0018887583,4000-5000特徵符合高報名樣態；對國貿實務有興趣
89106,5,0.0018887583,4000-5000特徵符合高報名樣態；對國貿實務有興趣
89118,1,0.7108681,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
89118,7,0.0021589058,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
89118,8,0.0021584476,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
89125,1,0.8332108,證照特徵符合高報名樣態；性別編特徵符合高報名樣態
89125,7,0.0048240987,線上特徵符合高報名樣態；性別編特徵符合高報名樣態
89125,8,0.0048230775,線上特徵符合高報名樣態；性別編特徵符合高報名樣態
89128,1,0.7921441,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
89128,7,0.003306045,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
89128,8,0.0033053444,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
89129,1,0.40514302,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
89129,7,0.0010726235,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
89129,8,0.0010723957,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
89135,1,0.096172005,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
89135,4,0.0010729623,4000-5000特徵符合高報名樣態；對國貿實務有興趣
89135,5,0.0010729623,4000-5000特徵符合高報名樣態；對國貿實務有興趣
89151,1,0.13945448,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
89151,7,0.0008857787,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
89151,8,0.0008855905,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
89161,1,0.34024394,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
89161,7,0.0010681659,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
89161,8,0.001067939,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
89174,1,0.048282687,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
89174,7,0.000576789,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
89174,8,0.00057666644,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
89181,1,0.21790032,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
89181,7,0.001129691,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
89181,8,0.001129451,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
89194,1,0.08973544,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
89194,7,0.00077724154,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
89194,8,0.0007770764,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
89203,1,0.9499393,證照特徵符合高報名樣態；性別編特徵符合高報名樣態
89203,7,0.007542785,線上特徵符合高報名樣態；性別編特徵符合高報名樣態
89203,8,0.007541193,線上特徵符合高報名樣態；性別編特徵符合高報名樣態
89204,1,0.42267358,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
89204,4,0.0013177351,4000-5000特徵符合高報名樣態
89204,5,0.0013177351,4000-5000特徵符合高報名樣態
89240,1,0.5974365,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
89240,7,0.0016875924,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
89240,8,0.0016872342,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
89245,1,0.2378364,證照特徵符合高報名樣態；5000以上特徵符合高報名樣態
89245,7,0.0011901299,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
89245,8,0.0011898772,線上特徵符合高報名樣態；5000以上特徵符合高報名樣態
